"province";"city";"branch";"manager";"latitude";"longitute";"address";"mapurl"
"Eastern Cape";"Port Elizabeth-Port Elizabeth";"Port Elizabeth";"Unknown";-33.0;25.0;"186 Goven Mbheki Ave Central Port Elizabeth 6001 EC";"https://goo.gl/maps/hKDhx7JavKs"
"Eastern Cape";"Mthatha-Mthatha";"Mthatha";"Unknown";-31.0;28.0;"67 York Road Umthatha";"https://goo.gl/maps/sypNJtE1V3F2"
"Free State";"Bloemfontein-Botshabelo";"Botshabelo";"Unknown";-29.0;26.0;"Shop 19 RCM Shopping Complex Strand St Botshabelo FS";"https://goo.gl/maps/GBhmm15vW7H2"
"Gauteng";"Kempton Park-Kempton Square";"Kempton Square";"Unknown";-26.0;28.0;"11 Voortrekker street Kempton Park 1619 GP";"https://goo.gl/maps/oq13Qn5C1zD2"
"Gauteng";"Roodepoort-Westgate Mall";"Westgate Mall";"Unknown";-26.0;27.0;"120 Ontdekkers Rd Roodepoort 1710 Joburg GP";"https://goo.gl/maps/cQ5xcP9Vrgu"
"Kwazulu-Natal";"Isipingo-Isipingo Juction";"Isipingo Juction";"Unknown";-29.0;30.0;"19 Pardy Rd Isipingo 4133 KZN";"https://goo.gl/maps/LhrTBu8SC4D2"
"Kwazulu-Natal";"Durban-Durban CBD";"Durban CBD";"Unknown";-29.0;31.0;"292 Cnr Smith and Anton Lembede Street Durban CBD KZN";"https://goo.gl/maps/4S7VcYtgEoF2"
"Limpopo";"Makhado-Makhado";"Makhado";"Unknown";-23.0;29.0;"Shop 7 105 Burger Str Louis Trichardt Shoprite Centre Makhado 0920 LP";"https://goo.gl/maps/mv95dgGMJ3M2"
"Limpopo";"Polokwane (Pietersburg)-Polokwane";"Polokwane";"Unknown";-23.0;29.0;"Shop 72 Landdros Mare Street Polokwane 0783 LP";"https://goo.gl/maps/wSpdKtMLH3u"
"Mpumalanga";"Ermelo-Ermelo Mall";"Ermelo Mall";"Unknown";-26.0;29.0;"50A de Jager Street Ermelo Mall Mpumalanga";"https://goo.gl/maps/DR2pi4WgDwQ2"
"Mpumalanga";"Hazyview-HazyView";"HazyView";"Unknown";-25.0;31.0;"Shop 314 Corner R536 and R40 Blue Haze Mall Hazyview 1242 MP";"https://goo.gl/maps/LSUUJFyEDdt"
"North West";"Mafikeng-Robinson Street";"Robinson Street";"Unknown";-25.0;25.0;"16 Robinson Street Mafikeng";"https://goo.gl/maps/ttPGptf7Xh82"
"North West";"Potchefstroom-Ikageng Shopping Centre";"Ikageng Shopping Centre";"Unknown";-26.0;27.0;"42 Ikageng St Potchefstroom 2520 NW";"https://goo.gl/maps/RnXFkH3KCf22"
"Northen Cape";"Kuruman-Kuruman Mall";"Kuruman Mall";"Unknown";-27.0;23.0;"Shop 53 Kuruman Hall 26 Livingstone Street Kuruman 8460 NC";"https://goo.gl/maps/mTQ7yVTpXqR2"
"Western Cape";"Cape Town-Cape Town";"Cape Town";"Unknown";-33.0;18.0;"African Bank Space 6 St Georges Mall Cape Town 8000 WC";"https://goo.gl/maps/xFBormPgbkJ2"
"Western Cape";"Cape Town-Gugulethu";"Gugulethu";"Unknown";-33.0;18.0;"Cnr NY1 & NY6 Guguletu Cape Town WC";"https://goo.gl/maps/kj5gpU3aLVA2"
"Western Cape";"Cape Town (Belville)-Bellstar Junction";"Bellstar Junction";"Unknown";-33.0;18.0;"Shop 33C Bellstar Junction Bellville station South Street Cape Town 7530 WC";"https://goo.gl/maps/tGTS7CgUjqB2"
"Western Cape";"Cape Town-Makhaza Mall";"Makhaza Mall";"Unknown";-34.0;18.0;"Shop 4 Makhaza Shopping Centre Lansdown Rd Khayalitsha Cape Town 7784 WC";"https://goo.gl/maps/d2wKN8PSJLP2"
