Province,City,Branch,Manager,Latitude,Longitude,Address,MapUrl
Eastern Cape,Queenstown-The Hexagon,The Hexagon,Unknown,-31.8980337,26.8690951,The Hexagon Cnr Hexagon & Bowker Street Queenstown 5319 EC,https://goo.gl/maps/i9XTLQUEW762
Eastern Cape,Umtata (Mthatha)-Umtata ,Umtata ,Unknown,-31.5969835,28.7846139,Shop L137 33 Errol Springs Ave B T Ngebs Mall Umtata EC,https://goo.gl/maps/KAEUTMZBsV92
Eastern Cape,Mdantsane-Mdantsane City,Mdantsane City,Unknown,-32.9342028,27.7397812,Shop no 60 Mdantsane City Cnr Bilies Toad & Qumza highigh Mdantsane 5219 EC,https://goo.gl/maps/EMQr8Way6AM2
Eastern Cape,East London-East London,East London,Unknown,-33.016213,27.9030507,Shop 1 3-5 Gladstone Street East London 5200 EC,https://goo.gl/maps/eK4b5LZ1P1y
Eastern Cape,East London-Gillwell ,Gillwell ,Unknown,-33.0200359,27.9033116,Shop no LG37 4 Fleet St East London 5200 EC,https://goo.gl/maps/fY3RQDQfwgB2
Eastern Cape,Port Elizabeth-Port Elizabeth,Port Elizabeth,Unknown,-33.9571982,25.6159097,186 Goven Mbheki Ave Central Port Elizabeth 6001 EC,https://goo.gl/maps/hKDhx7JavKs
Eastern Cape,Port Elizabeth-Kenako Mall,Kenako Mall,Unknown,-33.8833792,25.5627918,Shop 22e Kenako Retail Centre Cnr Uitenhage and Spondo Rd New Brighton Port Elizabeth EC,https://goo.gl/maps/hQkFcoHmLJB2
Free State,Bloemfontein-Bloemfontein CBD,Bloemfontein CBD,Unknown,-29.1176914,26.2158648,Liberty Life Building Corner of St Andrews & Church Street Bloemfontein 9301 FS,https://goo.gl/maps/L7NdDSoQCvy
Free State,Bloemfontein-Botshabelo,Botshabelo,Unknown,-29.2312252,26.7052026,Shop 19 RCM Shopping Complex Strand St Botshabelo FS,https://goo.gl/maps/GBhmm15vW7H2
Gauteng,JHB-Rissik,Rissik,Unknown,-26.2059222,28.0397623,Surrey House Building Corner Fox and Rissik Street Joburg 2107 GP,https://goo.gl/maps/pByHtWofBwo
Gauteng,Braamfontein-The Bridge Shopping Centre,The Bridge Shopping Centre,Unknown,-26.1979632,28.0429493,Cnr King George St & Noord Street Joburg 2000 GP,https://goo.gl/maps/rM2ssWsUSbE2
Gauteng,Alberton-Alberton,Alberton,Unknown,-26.2679576,28.1110621,Village Square Shopping Centre 46 Voortrekker Road Alberton Boulevard New Redruth Alberton 1449 GP,https://goo.gl/maps/uzgLGwswv4P2
Gauteng,Mondeor-Southgate Mall,Southgate Mall,Unknown,-26.2662367,27.9805042,Rifle Range Rd Southgate Mall Mondeor Joburg 2091 GP,https://goo.gl/maps/p4FyEgtsmcA2
Gauteng,Germiston-Germiston,Germiston,Unknown,-26.2133048,28.163987,Shop 6n Entrance 1 Golden Walk Shopping Centre Germiston 1400 GP,https://goo.gl/maps/2NqdTm3dA1T2
Gauteng,Santon-Alexandra Plaza,Alexandra Plaza,Unknown,-26.1064428,28.0869353,Alexandra Plaza 1st Street Sandton 2090 GP,https://goo.gl/maps/jqUKyGxUuT82
Gauteng,Soweto-Festival Mall,Festival Mall,Unknown,-26.1056067,28.2180862,Shop 86 Kelvin St & CR Swart Drive Joburg 1619 GP,https://goo.gl/maps/jkGgXPUfnao
Gauteng,Diepkloop-Bara Mall,Bara Mall,Unknown,-26.2589793,27.929351,Chris Hani Rd Diepkloop Soweto GP,https://goo.gl/maps/YEoNuGfP9v12
Gauteng,Meadowlands-Meadow Point (Ndofaya Mall),Meadow Point (Ndofaya Mall),Unknown,-26.2223082,27.8979993,Shop 26 Ndofaya Mall Cnr Heckroodt Circle and Odendaal Road / Marsh Street Meadowlands Soweto 1852,https://goo.gl/maps/rz48c9Qhk2N2
Gauteng,Randburg-Randburg City,Randburg City,Unknown,-26.0923538,28.0018496,Shop 31 Oak Ave Randburg Joburg 2194 GP,https://goo.gl/maps/KvgU73Ws3RL2
Gauteng,Soweto-Maponya Mall,Maponya Mall,Unknown,-26.2585221,27.8991983,Shop No 40 G floor Maponya Mall Chris Hani Rd Klipspruit Ext 5 Soweto 1809 GP,https://goo.gl/maps/yMErgWbJy3C2
Gauteng,Soweto-Jabulani Mall,Jabulani Mall,Unknown,-26.2507821,27.8538027,Shop 69 Jabulani Mall Cnr Koma & Bolani Street Jabulani Soweto GP,https://goo.gl/maps/q4ZoNx9KTsB2
Gauteng,Kempton Park-Kempton Square,Kempton Square,Unknown,-26.1050065,28.2296734,11 Voortrekker street Kempton Park 1619 GP,https://goo.gl/maps/oq13Qn5C1zD2
Gauteng,Katlehong-Sontonga Mall,Sontonga Mall,Unknown,-26.3754486,28.1621625,Shop 11 CNR Sontoga Ave & Katlehong Str Katlehong Joburg GP,https://goo.gl/maps/MpHjzk3wAUv
Gauteng,Krugersdorp-Kagiso Mall,Kagiso Mall,Unknown,-26.1666362,27.7793093,Shop No 34 Randfontein Road Corner Kagiso Road Kagiso 1754 GP,https://goo.gl/maps/hnPyBhWzLqy
Gauteng,Benoni-Lakeside Mall,Lakeside Mall,Unknown,-26.1853332,28.3142901,Shop 5&6 Tom Jones St Benoni 1501 GP,https://goo.gl/maps/NkC3nJddZzp
Gauteng,Soweto-Protea Gardens,Protea Gardens,Unknown,-26.2861141,27.8457607,Shop no. 18 Protea Gardens Mall Cnr Old Potchefstroom & Alekhine Soweto 1818 GP ,https://goo.gl/maps/tQL3gdjVo5E2
Gauteng,Brakpan-Mall @ Carnival,Mall @ Carnival,Unknown,-26.2517777,28.3160029,Shop 72 Cnr Airport & Heidelberg Rd Dalpark Ext 5 Brakpan 1552 GP,https://goo.gl/maps/cjx6AfUHzhG2
Gauteng,Roodepoort-Westgate Mall,Westgate Mall,Unknown,-26.1395497,27.8568159,120 Ontdekkers Rd Roodepoort 1710 Joburg GP,https://goo.gl/maps/cQ5xcP9Vrgu
